/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 0z63vs5c
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260422_094200-0z63vs5c
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run PPO_Baseline_10x10
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/0z63vs5c
Starting Baseline PPO Training on 10x10 Board...
============================================================
wandb: updating run metadata
wandb: updating run metadata; uploading history steps 100-159, summary, console lines 102-165
wandb: uploading history steps 100-159, summary, console lines 102-165; uploading output.log; uploading wandb-summary.json; uploading config.yaml
wandb: uploading wandb-summary.json; uploading config.yaml
wandb: uploading data
wandb: 
wandb: Run history:
wandb:       Game ▁▁▁▂▂▃▃▃▃▃▃▃▃▄▄▄▄▄▄▄▄▄▅▅▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇█
wandb: Mean_Score ▂▁▂▂▂▃▃▅▅▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇▇▇████████████
wandb:     Record ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb:      Score ▁▁▁▁▁▁▁█▁▁▁▁██▁▁▁▁▁▁▁▁▁█▁▁▁██▁▁██▁█▁█▁▁█
wandb: 
wandb: Run summary:
wandb:       Game 16000
wandb: Mean_Score 0.26937
wandb:     Record 3
wandb:      Score 1
wandb: 
wandb: 🚀 View run PPO_Baseline_10x10 at: https://wandb.ai/saheb37/rl-snake/runs/0z63vs5c
wandb: ⭐️ View project at: https://wandb.ai/saheb37/rl-snake
wandb: Synced 5 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260422_094200-0z63vs5c/logs
