/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run ndj5dr5o
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260518_070021-ndj5dr5o
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ConvDQN_v3_16x16_dense_seed2
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/ndj5dr5o
ConvDQN v3 | 16×16 dense | γ=0.995 batch=512 calls/ep=10 lr=0.000126 n_steps=1 ε_end=0.01 ε_decay/step=2.30e-06
Game 11600 | Score: 41 | Record: 59 | Mean: 7.36 | ε: 0.010 | Steps: 1,443,926
Game 11700 | Score: 26 | Record: 59 | Mean: 7.47 | ε: 0.010 | Steps: 1,469,296
Game 11800 | Score: 8 | Record: 59 | Mean: 7.59 | ε: 0.010 | Steps: 1,496,850
Game 11900 | Score: 8 | Record: 59 | Mean: 7.68 | ε: 0.010 | Steps: 1,520,604
Game 12000 | Score: 40 | Record: 59 | Mean: 7.79 | ε: 0.010 | Steps: 1,547,313
Game 12100 | Score: 3 | Record: 59 | Mean: 7.88 | ε: 0.010 | Steps: 1,570,926
Game 12200 | Score: 14 | Record: 59 | Mean: 7.98 | ε: 0.010 | Steps: 1,596,161
Game 12300 | Score: 13 | Record: 59 | Mean: 8.09 | ε: 0.010 | Steps: 1,624,577
Game 12400 | Score: 7 | Record: 59 | Mean: 8.19 | ε: 0.010 | Steps: 1,650,332
Game 12500 | Score: 17 | Record: 59 | Mean: 8.30 | ε: 0.010 | Steps: 1,677,529
Game 12600 | Score: 14 | Record: 59 | Mean: 8.40 | ε: 0.010 | Steps: 1,704,368
Game 12700 | Score: 53 | Record: 59 | Mean: 8.50 | ε: 0.010 | Steps: 1,739,372
Game 12800 | Score: 15 | Record: 59 | Mean: 8.61 | ε: 0.010 | Steps: 1,768,876
Game 12900 | Score: 39 | Record: 59 | Mean: 8.69 | ε: 0.010 | Steps: 1,791,754
Game 13000 | Score: 9 | Record: 59 | Mean: 8.78 | ε: 0.010 | Steps: 1,817,622
Game 13100 | Score: 40 | Record: 59 | Mean: 8.88 | ε: 0.010 | Steps: 1,845,503
Game 13200 | Score: 48 | Record: 59 | Mean: 8.99 | ε: 0.010 | Steps: 1,875,849
Game 13300 | Score: 4 | Record: 59 | Mean: 9.08 | ε: 0.010 | Steps: 1,902,874
Game 13400 | Score: 25 | Record: 59 | Mean: 9.19 | ε: 0.010 | Steps: 1,931,857
Game 13500 | Score: 2 | Record: 59 | Mean: 9.29 | ε: 0.010 | Steps: 1,960,735
Game 13600 | Score: 42 | Record: 59 | Mean: 9.36 | ε: 0.010 | Steps: 1,985,769
Game 13700 | Score: 33 | Record: 59 | Mean: 9.44 | ε: 0.010 | Steps: 2,010,776
Game 13800 | Score: 15 | Record: 59 | Mean: 9.53 | ε: 0.010 | Steps: 2,038,788
Game 13900 | Score: 14 | Record: 59 | Mean: 9.61 | ε: 0.010 | Steps: 2,066,085
[Game 14000] LR cooldown → 1e-5
Game 14000 | Score: 16 | Record: 59 | Mean: 9.71 | ε: 0.010 | Steps: 2,094,794
Game 14100 | Score: 28 | Record: 59 | Mean: 9.77 | ε: 0.010 | Steps: 2,117,711
Game 14200 | Score: 29 | Record: 59 | Mean: 9.84 | ε: 0.010 | Steps: 2,143,647
Game 14300 | Score: 21 | Record: 59 | Mean: 9.94 | ε: 0.010 | Steps: 2,174,584
Game 14400 | Score: 13 | Record: 59 | Mean: 10.01 | ε: 0.010 | Steps: 2,200,775
