/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run jlalqc30
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260516_195358-jlalqc30
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ConvDQN_v3_16x16_dense_seed1
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/jlalqc30
ConvDQN v3 | 16×16 dense | γ=0.995 batch=512 calls/ep=10 lr=0.000126 n_steps=1 ε_end=0.01 ε_decay/step=2.30e-06
Game 11000 | Score: 36 | Record: 53 | Mean: 6.57 | ε: 0.010 | Steps: 1,335,657
Game 11100 | Score: 40 | Record: 53 | Mean: 6.68 | ε: 0.010 | Steps: 1,361,819
Game 11200 | Score: 8 | Record: 53 | Mean: 6.81 | ε: 0.010 | Steps: 1,389,523
Game 11300 | Score: 8 | Record: 54 | Mean: 6.90 | ε: 0.010 | Steps: 1,412,868
Game 11400 | Score: 6 | Record: 54 | Mean: 7.02 | ε: 0.010 | Steps: 1,440,237
Game 11500 | Score: 23 | Record: 54 | Mean: 7.11 | ε: 0.010 | Steps: 1,462,391
Game 11600 | Score: 38 | Record: 54 | Mean: 7.22 | ε: 0.010 | Steps: 1,488,048
Game 11700 | Score: 20 | Record: 54 | Mean: 7.33 | ε: 0.010 | Steps: 1,514,100
Game 11800 | Score: 5 | Record: 55 | Mean: 7.41 | ε: 0.010 | Steps: 1,537,065
Game 11900 | Score: 22 | Record: 55 | Mean: 7.52 | ε: 0.010 | Steps: 1,562,915
Game 12000 | Score: 32 | Record: 55 | Mean: 7.62 | ε: 0.010 | Steps: 1,590,003
Game 12100 | Score: 29 | Record: 55 | Mean: 7.74 | ε: 0.010 | Steps: 1,616,995
Game 12200 | Score: 7 | Record: 55 | Mean: 7.84 | ε: 0.010 | Steps: 1,644,163
Game 12300 | Score: 16 | Record: 55 | Mean: 7.95 | ε: 0.010 | Steps: 1,671,315
Game 12400 | Score: 33 | Record: 56 | Mean: 8.05 | ε: 0.010 | Steps: 1,697,911
Game 12500 | Score: 7 | Record: 56 | Mean: 8.15 | ε: 0.010 | Steps: 1,724,536
Game 12600 | Score: 32 | Record: 56 | Mean: 8.25 | ε: 0.010 | Steps: 1,751,998
Game 12700 | Score: 4 | Record: 56 | Mean: 8.36 | ε: 0.010 | Steps: 1,780,605
Game 12800 | Score: 39 | Record: 56 | Mean: 8.46 | ε: 0.010 | Steps: 1,808,149
